Trường_ID,Dự_báo_PM25,Risk_S1 (Bình thường),Risk_S2 (Nhạy cảm),Cấp_độ,Lệnh_Hành_Động
41,27.08,101.53,152.3,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
42,27.42,102.82,154.23,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
43,27.39,102.72,154.08,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
44,27.07,101.49,152.24,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
45,27.09,101.58,152.37,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
46,26.56,99.59,149.39,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
47,27.27,102.27,153.41,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
48,27.03,101.35,152.02,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
49,27.34,102.53,153.79,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
50,27.26,102.23,153.34,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
51,27.02,101.33,152.0,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
52,27.25,102.19,153.28,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
53,27.28,102.31,153.47,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
54,27.3,102.39,153.59,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
55,27.29,102.35,153.52,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
56,27.25,102.18,153.26,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
57,27.05,101.44,152.16,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
58,27.25,102.18,153.26,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
59,27.24,102.15,153.22,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
60,27.32,102.45,153.67,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
61,27.0,101.27,151.9,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
62,27.19,101.94,152.92,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
63,27.59,103.45,155.17,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
64,27.42,102.81,154.22,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
65,27.45,102.94,154.42,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
66,26.64,99.9,149.85,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
67,26.89,100.85,151.27,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
68,27.53,103.24,154.85,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
69,26.96,101.11,151.66,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
70,27.64,103.65,155.48,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
71,27.64,103.66,155.5,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
72,27.71,103.9,155.86,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
73,27.63,103.63,155.44,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
74,27.68,103.81,155.71,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
75,27.64,103.67,155.5,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
76,27.67,103.75,155.63,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
77,28.63,107.36,161.03,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
78,27.64,103.66,155.48,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
79,28.1,105.36,158.05,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
80,28.84,108.16,162.24,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
81,29.67,111.25,166.87,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
82,27.34,102.52,153.78,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
83,29.75,111.58,167.36,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
84,28.39,106.45,159.67,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
85,28.13,105.47,158.21,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
86,28.54,107.02,160.53,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
87,29.03,108.88,163.31,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
88,28.27,106.02,159.03,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
89,28.52,106.93,160.4,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
90,27.48,103.03,154.55,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
91,28.29,106.08,159.12,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
92,27.87,104.51,156.76,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
93,27.83,104.37,156.56,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
94,27.78,104.18,156.27,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
95,27.94,104.77,157.16,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
96,27.93,104.74,157.12,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
97,27.95,104.8,157.19,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
98,27.96,104.84,157.25,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
99,27.97,104.89,157.33,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
100,27.97,104.87,157.3,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
101,27.96,104.85,157.27,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
102,27.91,104.67,157.01,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
103,27.34,102.52,153.77,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
104,27.42,102.82,154.22,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
105,27.58,103.41,155.12,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
106,27.44,102.91,154.37,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
107,27.93,104.74,157.11,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
108,27.17,101.9,152.86,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
109,27.45,102.94,154.42,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
110,27.85,104.42,156.64,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
111,27.97,104.9,157.36,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
112,27.49,103.08,154.63,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
113,27.13,101.74,152.6,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
114,27.81,104.28,156.42,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
115,27.92,104.7,157.05,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
116,27.79,104.22,156.34,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
117,27.81,104.3,156.44,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
118,27.82,104.33,156.5,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
119,27.9,104.63,156.94,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
120,27.76,104.09,156.13,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
121,27.94,104.77,157.15,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
122,27.91,104.67,157.01,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
123,27.83,104.36,156.54,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
124,27.81,104.3,156.46,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
125,27.92,104.7,157.05,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
126,27.82,104.33,156.5,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
127,27.84,104.41,156.62,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
128,27.73,103.98,155.97,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
129,28.34,106.26,159.39,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
130,28.21,105.77,158.65,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
131,27.82,104.34,156.51,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
132,28.27,106.0,159.0,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
133,27.48,103.05,154.58,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
134,28.15,105.55,158.32,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
135,28.37,106.38,159.57,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
136,28.26,105.99,158.98,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
137,28.57,107.13,160.7,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
138,28.84,108.15,162.23,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
139,28.76,107.84,161.77,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
140,27.87,104.52,156.78,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
141,28.54,107.01,160.52,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
142,28.78,107.92,161.87,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
143,29.72,111.43,167.15,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
144,29.05,108.92,163.39,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
145,28.27,106.0,159.01,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
146,28.0,104.98,157.48,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
147,29.26,109.74,164.62,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
148,29.25,109.67,164.51,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
149,27.79,104.22,156.33,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
150,26.74,100.27,150.4,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
151,27.83,104.38,156.57,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
152,27.65,103.71,155.56,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
153,27.68,103.8,155.69,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
154,27.65,103.68,155.51,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
155,27.7,103.86,155.79,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
156,27.72,103.94,155.91,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
157,27.14,101.79,152.69,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
158,27.38,102.68,154.03,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
159,27.43,102.86,154.29,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
160,27.51,103.18,154.77,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
161,27.28,102.3,153.45,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
162,27.05,101.45,152.18,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
163,27.15,101.81,152.71,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
164,27.3,102.37,153.55,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
165,27.24,102.16,153.24,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
166,27.24,102.17,153.25,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
167,27.54,103.26,154.89,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
168,27.5,103.11,154.67,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
169,27.47,103.0,154.5,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
170,27.53,103.24,154.87,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
171,27.67,103.75,155.62,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
172,27.65,103.7,155.54,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
173,27.64,103.65,155.47,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
174,27.68,103.79,155.69,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
175,27.69,103.83,155.74,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
176,27.64,103.67,155.5,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
177,27.7,103.87,155.8,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
