Trường_ID,Dự_báo_PM25,Risk_S1 (Bình thường),Risk_S2 (Nhạy cảm),Cấp_độ,Lệnh_Hành_Động
178,27.81,104.3,156.44,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
179,27.88,104.53,156.8,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
180,27.85,104.45,156.67,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
181,27.78,104.16,156.24,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
182,27.74,104.03,156.05,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
183,27.8,104.24,156.36,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
184,27.4,102.76,154.14,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
185,27.4,102.75,154.12,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
186,27.32,102.46,153.68,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
187,27.97,104.9,157.35,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
188,28.7,107.64,161.45,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
189,27.75,104.06,156.08,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
190,28.06,105.23,157.84,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
191,27.92,104.7,157.05,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
192,27.7,103.86,155.79,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
193,27.96,104.84,157.26,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
194,28.08,105.3,157.94,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
195,28.05,105.2,157.8,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
196,28.03,105.11,157.66,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
197,28.02,105.06,157.59,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
198,28.34,106.27,159.41,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
199,27.95,104.82,157.23,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
200,27.98,104.93,157.39,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
201,27.98,104.91,157.37,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
202,27.99,104.94,157.42,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
203,28.02,105.07,157.6,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
204,27.97,104.9,157.35,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
205,27.97,104.89,157.34,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
206,28.05,105.19,157.79,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
207,28.02,105.07,157.6,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
208,28.45,106.7,160.04,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
209,26.5,99.38,149.07,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
210,26.5,99.39,149.08,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
211,27.15,101.81,152.72,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
212,26.49,99.34,149.01,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
213,27.93,104.74,157.11,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
214,26.72,100.21,150.32,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
215,27.94,104.78,157.17,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
216,27.25,102.19,153.28,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
217,27.87,104.49,156.74,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
218,26.64,99.92,149.88,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
